Song,Lyrics,topic_label,topic_explanation
الجو جميل,"['وسط', 'الليل', 'واللمه', 'ببقي', 'في', 'حاله', 'روقان', 'بقرب', 'ليك', 'بشوفك', 'بنسي', 'الدنيا', 'وبجري', 'مخلي', 'سهرنا', 'جميل', 'والجو', 'جميل', 'انت', 'جميل', 'كملت', 'الحته', 'الناقصه', 'مره', 'بضحكه', 'ومره', 'برقصه', 'وقولنا', 'كلام', 'ياه', 'وجودك', 'ايام', 'مخلي', 'جميل', 'والجو', 'جميل', 'انت', 'جميل', 'شفنا', 'القمر', 'وطلعناله', 'طلعنا', 'طلع', 'القمر', 'سهران', 'وبيسمعنا', 'قضينا', 'وقت', 'جميل', 'واستمتعنا', 'احنا', 'وقمرنا', 'وليلنا', 'سوا', 'انا', 'وانت', 'نكون', 'انا', 'وانت', 'والدنيا', 'مافيهاش', 'الا', 'انا', 'وانت', 'يهمناش', 'الشمس', 'هتيجي', 'امتي', 'محتاجين', 'هواك', 'الضحكه', 'بتعمل', 'رنه', 'ودنيتنا', 'بتتحول', 'جنه', 'بننسي', 'الناس', 'انا', 'وانا', 'ويا', 'حبيبي', 'مابيفوتناش', 'احساس', 'مخلي', 'سهرنا', 'جميل', 'والجو', 'جميل', 'انت', 'جميل', 'الضحكه', 'بتعمل', 'رنه', 'ودنيتنا', 'بتتحول', 'جنه', 'بننسي', 'الناس', 'انا', 'وانا', 'ويا', 'حبيبي', 'مابيفوتناش', 'احساس', 'مخلي', 'جميل', 'والجو', 'جميل', 'انت', 'جميل', 'شفنا', 'القمر', 'وطلعناله', 'طلعنا', 'طلع', 'القمر', 'سهران', 'وبيسمعنا', 'قضينا', 'وقت', 'جميل', 'واستمتعنا', 'احنا', 'وقمرنا', 'وليلنا', 'سوا', 'انا', 'وانت', 'نكون', 'انا', 'وانت', 'والدنيا', 'مافيهاش', 'الا', 'انا', 'وانت', 'يهمناش', 'الشمس', 'هتيجي', 'امتي', 'محتاجين', 'هواك']",New in love,"**New in love:** The lyrics express feelings of joy, infatuation, and being completely absorbed in a romantic connection, emphasizing the couple's happiness and shared moments."
قمرين,"['والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'قمرين', 'قمرين', 'عينيك', 'قلبي', 'بيسالني', 'اتاريني', 'بفكر', 'قلبي', 'يانا', 'حبه', 'يانا', 'شوق', 'امانه', 'تملي', 'الليالي', 'غرام', 'اهين', 'ياعمري', 'عمري', 'سلمته', 'امري', 'وعينيه', 'قالتلي', 'كلام', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'قمرين', 'قمرين', 'عينيك', 'قلبي', 'بيسالني', 'اتاريني', 'بفكر', 'طال', 'انشغالي', 'وياك', 'غالي', 'وانا', 'ايه', 'جرالي', 'خلاني', 'ادوب', 'هواك', 'اشمعنا', 'انت', 'حبيتك', 'انت', 'ازاي', 'وامتي', 'شغلت', 'روحي', 'معاك', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'قمرين', 'قمرين', 'عينيك', 'قلبي', 'بيسالني', 'اتاريني', 'بفكر', 'قمرين', 'قمرين', 'عينيك', 'قلبي', 'بيسالني', 'اتاريني', 'بفكر', 'قمرين', 'عينيك', 'قلبي', 'بيسالني', 'اتاريني', 'بفكر', 'معقوله', 'اكون', 'حبيت', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي', 'والله', 'علي', 'بالي', 'هوي']",New in love,"**New in love:** The lyrics express feelings of being deeply in love, questioning how and when the singer fell for someone, and feeling constantly preoccupied with their beloved. Words like ""حب"" (love), ""شوق"" (longing), ""غرام"" (infatuation), ""ادوب هواك"" (melt in your love) clearly indicate this theme."
أنا,"['انا', 'بموت', 'حبك', 'انا', 'انا', 'بشوف', 'عينيك', 'المنا', 'احلامي', 'وانا', 'بموت', 'حبك', 'انا', 'انا', 'بشوف', 'عينيك', 'المنا', 'احلامي', 'ايديك', 'انا', 'حبيبي', 'حبيبي', 'انا', 'ايديك', 'اكتر', 'قلب', 'عارف', 'اد', 'انا', 'دوبت', 'ايديك', 'انا', 'حبيبي', 'حبيبي', 'انا', 'ايديك', 'اكتر', 'قلب', 'عارف', 'اد', 'انا', 'دوبت', 'وانا', 'بموت', 'حبك', 'انا', 'انا', 'بشوف', 'عينيك', 'المنا', 'احلامي', 'دقه', 'شايلها', 'قلبي', 'حبيبي', 'شايلها', 'ليك', 'ذكرياتي', 'سنين', 'حياتي', 'تسوي', 'عنيك', 'دقه', 'شايلها', 'قلبي', 'حبيبي', 'شايلها', 'ليك', 'ذكرياتي', 'سنين', 'حياتي', 'تسوي', 'عنيك', 'وانا', 'بموت', 'حبك', 'انا', 'انا', 'بشوف', 'عينيك', 'المنا', 'احلامي', 'وانا', 'بموت', 'حبك', 'انا', 'انا', 'بشوف', 'عينيك', 'المنا', 'احلامي']",New in love,"New in love: The lyrics express intense feelings of love and adoration, focusing on seeing dreams and solace in the beloved's eyes. The speaker claims to be melting from the love, and dedicates their heartbeats, memories and entire life to the beloved."
قلبي,"['قلبي', 'قلبي', 'متعلق', 'بيكي', 'وانا', 'سهران', 'بناديكي', 'سايباني', 'لوحدي', 'املي', 'قلبي', 'متعلق', 'بيكي', 'وانا', 'سهران', 'بناديكي', 'سايباني', 'لوحدي', 'املي', 'بحلم', 'شايف', 'عيونك', 'العمر', 'ايه', 'معانيه', 'العمر', 'ليله', 'قلبي', 'الوحيد', 'بلاقيه', 'انتي', 'الوحيده', 'انتي', 'دوبتيه', 'وليله', 'قلبي', 'قلبي', 'العاشق', 'قدامك', 'بصيتي', 'لقدامك', 'هتلاقي', 'روحك', 'املي', 'قلبي', 'العاشق', 'قدامك', 'بصيتي', 'لقدامك', 'هتلاقي', 'روحك', 'املي', 'الوحيد', 'بناديه', 'انتي', 'الوحيده', 'انتي', 'دوبتيه', 'وليله', 'قلبي', 'الوحيد', 'بلاقيه', 'انتي', 'الوحيده', 'انتي', 'دوبتيه', 'وليله', 'املي', 'بحلم', 'شايف', 'عيونك', 'العمر', 'ايه', 'معانيه', 'العمر', 'ليله', 'قلبي', 'الوحيد', 'بلاقيه', 'انتي', 'الوحيده', 'انتي', 'دوبتيه', 'وليله', 'قلبي', 'قلبي', 'متعلق', 'بيكي', 'وانا', 'سهران', 'بناديكي', 'سايباني', 'لوحدي', 'املي', 'قلبي', 'متعلق', 'بيكي', 'وانا', 'سهران', 'بناديكي', 'سايباني', 'لوحدي', 'املي', 'بحلم', 'شايف', 'عيونك', 'العمر', 'ايه', 'معانيه', 'العمر', 'ليله', 'قلبي', 'الوحيد', 'بلاقيه', 'انتي', 'الوحيده', 'انتي', 'دوبتيه', 'وليله']",Romantic Relationships,"**Romantic Relationships/New in Love:** The lyrics express a deep attachment and longing for a beloved (""My heart is attached to you""), describing sleepless nights calling out to her and feeling alone. They speak of dreams, seeing her eyes, and finding meaning in life through her, suggesting a new and intense romantic infatuation."
بتوحشني,"['قادر', 'علي', 'البعاد', 'انا', 'قادر', 'بتوحشني', 'بتوحشني', 'اه', 'اه', 'حبيبي', 'بحبك', 'بروحي', 'بقلبي', 'بعقلي', 'ياللي', 'ياللي', 'ياللي', 'معندكش', 'قلب', 'بتوحشني', 'بتوحشني', 'اه', 'اه', 'ايام', 'وانا', 'بيك', 'مشغول', 'مشتاق', 'لعينيك', 'علي', 'طول', 'تسبقني', 'ليك', 'وقلبي', 'معاك', 'يقول', 'ايام', 'وانا', 'بيك', 'مشغول', 'مشتاق', 'لعينيك', 'علي', 'طول', 'تسبقني', 'ليك', 'وقلبي', 'معاك', 'يقول', 'بتوحشني', 'بتوحشني', 'اه', 'اه', 'حبيبي', 'بحبك', 'بروحي', 'بقلبي', 'بعقلي', 'ياللي', 'ياللي', 'ياللي', 'معندكش', 'قلب', 'بتوحشني', 'بتوحشني', 'اه', 'اه', 'حبيبي', 'ازاي', 'انساك', 'انا', 'روحي', 'تروح', 'وياك', 'الشوق', 'تعبني', 'وقلبي', 'سابني', 'سابني', 'معاك', 'حبيبي', 'ازاي', 'انساك', 'انا', 'روحي', 'تروح', 'وياك', 'الشوق', 'تعبني', 'وقلبي', 'سابني', 'سابني', 'معاك', 'بتوحشني', 'بتوحشني', 'اه', 'اه', 'حبيبي', 'بحبك', 'بروحي', 'بقلبي', 'بعقلي', 'ياللي', 'ياللي', 'ياللي', 'معندكش', 'قلب', 'بتوحشني', 'بتوحشني', 'اه', 'اه', 'حبيبي', 'بحبك', 'بروحي', 'بقلبي', 'بعقلي', 'ياللي', 'ياللي', 'ياللي', 'معندكش', 'قلب']",Romantic Relationships,"**Romantic relationships**

The lyrics express longing, love, and missing someone deeply (""بتوحشني"" - I miss you), highlighting the pain of separation and the inability to forget the beloved. The singer emphasizes their love with declarations like ""بحبك بروحي بقلبي بعقلي"" (I love you with my soul, my heart, my mind)."
ولسه بتحبه,"['بتحبه', 'قلبي', 'قلبي', 'حرام', 'ازاي', 'تامن', 'اللي', 'عمله', 'بتحبه', 'قلبي', 'قلبي', 'حرام', 'ازاي', 'تامن', 'اللي', 'عمله', 'انت', 'فاكر', 'ايه', 'هتبكي', 'ماتقولي', 'فاكر', 'ايه', 'هتبكي', 'معاك', 'هواه', 'هواك', 'نسيك', 'بتحبه', 'قلبي', 'قلبي', 'حرام', 'ازاي', 'تامن', 'اللي', 'عمله', 'ياريت', 'قلبي', 'قلبي', 'دام', 'ظالمني', 'وياك', 'ليالي', 'ياريتنا', 'ننسي', 'فاكره', 'حبيبنا', 'خاين', 'غالي', 'انت', 'فاكر', 'ايه', 'هتبكي', 'ماتقولي', 'فاكر', 'ايه', 'هتبكي', 'معاك', 'هواه', 'هواك', 'نسيك', 'بتحبه', 'قلبي', 'قلبي', 'حرام', 'ازاي', 'تامن', 'اللي', 'عمله', 'واسينا', 'قلبي', 'سيبه', 'يختار', 'جراحه', 'مالك', 'وماله', 'اهو', 'لحاله', 'قلبي', 'راحوا', 'انت', 'فاكر', 'ايه', 'هتبكي', 'ماتقولي', 'فاكر', 'ايه', 'هتبكي', 'معاك', 'هواه', 'هواك', 'نسيك', 'بتحبه', 'قلبي', 'قلبي', 'حرام', 'ازاي', 'تامن', 'اللي', 'عمله', 'بتحبه', 'قلبي', 'قلبي', 'حرام', 'ازاي', 'تامن', 'اللي', 'عمله', 'بتحبه', 'قلبي', 'قلبي', 'حرام', 'ازاي', 'تامن', 'اللي', 'عمله']",Romantic Relationships,"**Romantic Relationships/Heartbreak:**

The lyrics express a struggle with loving someone who has caused pain. The phrases ""بتحبه قلبي حرام"" (my heart loves him, it's a sin/shame), ""ازاي تامن اللي عمله"" (how can you trust what he did), ""خاين"" (traitor), and ""نسيك"" (he forgot you) all point to a relationship marked by betrayal and the difficulty of letting go despite the hurt."
خليك فاكرني,"['خليك', 'فاكرني', 'بجمالك', 'وبعيونك', 'اسرني', 'خليك', 'فاكرني', 'وان', 'حس', 'قلبك', 'بقلبي', 'ابقي', 'زورني', 'خليك', 'فاكرني', 'بجمالك', 'وبعيونك', 'اسرني', 'خليك', 'فاكرني', 'وان', 'حس', 'قلبك', 'بقلبي', 'ابقي', 'زورني', 'انت', 'عينيا', 'ليا', 'فرحه', 'شبابي', 'والدنيا', 'ديا', 'ده', 'انت', 'عينيا', 'ليا', 'فرحه', 'شبابي', 'والدنيا', 'ديا', 'اول', 'ماشفتك', 'لمست', 'قلبي', 'بنظره', 'واحده', 'نسيت', 'جراحه', 'لقيتك', 'انت', 'اجمل', 'حكايه', 'حب', 'نستني', 'راحوا', 'ماتغيبش', 'وخلي', 'قلبك', 'ناديته', 'يجيلي', 'احنا', 'بينا', 'الحب', 'وعمري', 'مر', 'معاك', 'ثواني', 'انت', 'عينيا', 'ليا', 'فرحه', 'شبابي', 'والدنيا', 'ديا', 'خليك', 'فاكرني', 'اللي', 'بجمالك', 'وبعيونك', 'اسرني', 'خليك', 'فاكرني', 'وان', 'حس', 'قلبك', 'بقلبي', 'ابقي', 'زورني', 'ده', 'انت', 'عينيا', 'ليا', 'فرحه', 'شبابي', 'والدنيا', 'ديا', 'خليك', 'فاكرني']",New in love,"**Memories and New in Love:** The lyrics express a desire to be remembered fondly and evoke feelings of new love and joy. The singer reminisces about the impact the loved one has had on their life, highlighting the joy and healing they brought."
حكاياتي,"['حكاياتي', 'انا', 'عشتها', 'تشبه', 'اولها', 'غرام', 'وتانيها', 'ايام', 'انا', 'بفرح', 'بيها', 'اولها', 'غرام', 'وتانيها', 'ايام', 'انا', 'بفرح', 'بيها', 'واخرها', 'اولها', 'غرام', 'وتانيها', 'ايام', 'انا', 'بفرح', 'بيها', 'حكاياتي', 'انا', 'عشتها', 'تشبه', 'حكاياتي', 'انا', 'عشتها', 'تشبه', 'بدايتها', 'سؤال', 'وكلام', 'عيون', 'مليان', 'حيره', 'وحقيقه', 'وحب', 'وشوق', 'وحاجات', 'تانيه', 'كتيره', 'بدايتها', 'سؤال', 'وكلام', 'عيون', 'مليان', 'حيره', 'وحقيقه', 'وحب', 'وشوق', 'وحاجات', 'تانيه', 'كتيره', 'واخرها', 'اولها', 'غرام', 'وتانيها', 'ايام', 'انا', 'بفرح', 'بيها', 'اولها', 'غرام', 'وتانيها', 'ايام', 'انا', 'بفرح', 'بيها', 'حكاياتي', 'انا', 'عشتها', 'تشبه', 'حكاياتي', 'انا', 'عشتها', 'تشبه', 'الحكايات', 'اللي', 'احنا', 'قلبي', 'قابلناها', 'طلعت', 'اوهام', 'وياريتنا', 'حلمناها', 'الحكايات', 'اللي', 'احنا', 'قلبي', 'قابلناها', 'طلعت', 'اوهام', 'وياريتنا', 'حلمناها', 'واخرها', 'اولها', 'غرام', 'وتانيها', 'ايام', 'انا', 'بفرح', 'بيها', 'اولها', 'غرام', 'وتانيها', 'ايام', 'انا', 'بفرح', 'بيها', 'حكاياتي', 'انا', 'عشتها', 'تشبه', 'حكاياتي', 'انا', 'عشتها', 'تشبه', 'اولها', 'غرام', 'وتانيها', 'ايام', 'انا', 'بفرح', 'بيها', 'اولها', 'غرام', 'وتانيها', 'ايام', 'انا', 'بفرح', 'بيها', 'واخرها']",Romantic Relationships,"**Memories & Romantic Relationships:** The song speaks about the narrator's lived stories (""حكاياتي انا عشتها""), describing them as starting with love (""غرام"") and followed by days of happiness (""ايام انا بفرح بيها""). It also mentions encounters with stories that turned out to be illusions (""اوهام""). So, it's a reflection on past experiences, particularly romantic ones, and the emotions associated with them."
إنتي اللي عارفة,"['باقيه', 'عليا', 'زمان', 'زمان', 'بتخبي', 'حبك', 'ليا', 'وتداري', 'كمان', 'وتداري', 'كمان', 'باقيه', 'عليا', 'زمان', 'زمان', 'بتخبي', 'حبك', 'ليا', 'وتداري', 'كمان', 'وتداري', 'كمان', 'اه', 'وانتي', 'عارفه', 'اني', 'بحبك', 'اكثر', 'انتي', 'عارفه', 'اني', 'بحبك', 'اكثر', 'وانتي', 'الوحيده', 'حبك', 'حسيت', 'بامان', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انا', 'الغريق', 'اتعلم', 'عينيكي', 'العوم', 'وانا', 'الحبيب', 'اتكلم', 'اول', 'انا', 'الغريق', 'اتعلم', 'عينيكي', 'العوم', 'وانا', 'الحبيب', 'اتكلم', 'اول', 'اللازمه', 'وانتي', 'عارفه', 'اني', 'بحبك', 'اكتر', 'وانتي', 'عارفه', 'اني', 'بحبك', 'اكتر', 'وانتي', 'الوحيده', 'حبك', 'حسيت', 'بامان', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انا', 'طول', 'الليل', 'ماشي', 'حبيبتي', 'وحيد', 'وانا', 'نايماشي', 'طول', 'انتي', 'بعيد', 'انا', 'طول', 'الليل', 'ماشي', 'حبيبتي', 'وحيد', 'وانا', 'نايماشي', 'طول', 'انتي', 'بعيد', 'وانتي', 'عارفه', 'اني', 'بحبك', 'اكتر', 'وانتي', 'عارفه', 'اني', 'بحبك', 'اكتر', 'وانتي', 'الوحيده', 'حبك', 'حسيت', 'بامان', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'كنتي', 'باقيه', 'عليا', 'زمان', 'زمان', 'بتخبي', 'حبك', 'ليا', 'وتداري', 'كمان', 'وتداري', 'كمان', 'كنتي', 'باقيه', 'عليا', 'زمان', 'زمان', 'بتخبي', 'حبك', 'ليا', 'وتداري', 'كمان', 'وتداري', 'كمان', 'وانتي', 'عارفه', 'اني', 'بحبك', 'اكتر', 'انتي', 'عارفه', 'اني', 'بحبك', 'اكتر', 'وانتي', 'الوحيده', 'حبك', 'حسيت', 'بامان', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'عارفه', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه', 'انتي', 'عارفه']",Romantic Relationships,"**New in love / Romantic relationships:** The lyrics revolve around the singer's deep love for someone who knows about their feelings but hides their own. The lyrics express feeling safe only in the loved one's love, and the singer feels lost (""walking alone all night"") when they are apart."
شوقنا,"['دوبنا', 'دوب', 'طمنا', 'قرب', 'فهمنا', 'انت', 'اللي', 'فاهمنا', 'شوقنا', 'اكتر', 'شوقنا', 'شوقنا', 'اكتر', 'شوقنا', 'شوقنا', 'اكتر', 'اشتاقنا', 'واياك', 'تفكر', 'بحر', 'الشوق', 'هيغرقنا', 'شوقنا', 'اكتر', 'شوقنا', 'شوقنا', 'اكتر', 'اشتاقنا', 'واياك', 'تفكر', 'بحر', 'الشوق', 'هيغرقنا', 'دوبنا', 'دوب', 'حبيبنا', 'دوبنا', 'واوعاك', 'تحسبنا', 'دوبنا', 'دوب', 'حبيبنا', 'دوبنا', 'واوعاك', 'تحسبنا', 'طول', 'دلالك', 'نتعب', 'عمر', 'الدلال', 'هيتعبنا', 'شوقنا', 'اكتر', 'شوقنا', 'شوقنا', 'اكتر', 'اشتاقنا', 'واياك', 'تفكر', 'بحر', 'الشوق', 'هيغرقنا', 'طمنا', 'قرب', 'طمنا', 'فهمنا', 'انت', 'فاهمنا', 'طمنا', 'قرب', 'طمنا', 'فهمنا', 'انت', 'فاهمنا', 'بتقيس', 'غلاوتك', 'قلوبنا', 'بتتاكد', 'شوقنا', 'اكتر', 'شوقنا', 'شوقنا', 'اكتر', 'اشتاقنا', 'واياك', 'تفكر', 'بحر', 'الشوق', 'هيغرقنا', 'ياللي', 'انت', 'يبعدنا', 'اي', 'شيء', 'يسعدنا', 'ياللي', 'انت', 'يبعدنا', 'اي', 'شيء', 'يسعدنا', 'صابرين', 'مسيرك', 'توفي', 'توعدنا', 'شوقنا', 'اكتر', 'شوقنا', 'شوقنا', 'اكتر', 'اشتاقنا', 'واياك', 'تفكر', 'بحر', 'الشوق', 'هيغرقنا', 'شوقنا', 'اكتر', 'شوقنا', 'شوقنا', 'اكتر', 'اشتاقنا', 'واياك', 'تفكر', 'بحر', 'الشوق', 'هيغرقنا', 'شوقنا', 'اكتر', 'شوقنا', 'شوقنا', 'اكتر', 'اشتاقنا', 'واياك', 'تفكر', 'بحر', 'الشوق', 'هيغرقنا', 'شوقنا', 'اكتر', 'شوقنا', 'شوقنا', 'اكتر', 'اشتاقنا', 'واياك', 'تفكر', 'بحر', 'الشوق', 'هيغرقنا', 'شوقنا', 'اكتر', 'شوقنا', 'شوقنا', 'اكتر', 'اشتاقنا', 'واياك', 'تفكر', 'بحر', 'الشوق', 'هيغرقنا', 'شوقنا', 'اكتر', 'شوقنا', 'شوقنا', 'اكتر', 'اشتاقنا', 'واياك', 'تفكر', 'بحر', 'الشوق', 'هيغرقنا']",Romantic Relationships,"**Romantic Relationships:** The lyrics repeatedly emphasize longing (شوقنا), melting (دوبنا), closeness (قرب), and the fear of being overwhelmed by the sea of longing. This strongly suggests a theme centered on romantic love and the intensity of emotions within a relationship."
وإيه يعني,"['وايه', 'يعني', 'تودعني', 'وتهجرني', 'وتنساني', 'وفاكره', 'البعد', 'ضيعني', 'وسهرني', 'وبكاني', 'وايه', 'يعني', 'تودعني', 'وتهجرني', 'وتنساني', 'وفاكره', 'البعد', 'ضيعني', 'وسهرني', 'وبكاني', 'وايه', 'يعني', 'تروح', 'ماتجيش', 'وايه', 'يعني', 'هواها', 'مافيش', 'وايه', 'يعني', 'تروح', 'ماتجيش', 'وايه', 'يعني', 'هواها', 'مافيش', 'هوصي', 'القلب', 'ينساها', 'واوصي', 'عينيا', 'ماتبكيش', 'وهدور', 'العيون', 'علي', 'فرحه', 'وامل', 'وهدور', 'العيون', 'علي', 'فرحه', 'وامل', 'باعت', 'انا', 'بايع', 'باعت', 'انا', 'بايع', 'وايه', 'يعني', 'تودعني', 'وتهجرني', 'وتنساني', 'وفاكره', 'البعد', 'ضيعني', 'وسهرني', 'وبكاني', 'وايه', 'يعني', 'تخون', 'قلبي', 'وايه', 'يعني', 'تبيع', 'حبي', 'وايه', 'يعني', 'تخون', 'قلبي', 'وايه', 'يعني', 'تبيع', 'حبي', 'انا', 'الاول', 'الاخر', 'الفراق', 'ذنبي', 'انا', 'ادور', 'العيون', 'علي', 'فرحه', 'وامل', 'انا', 'ادور', 'العيون', 'علي', 'فرحه', 'وامل', 'باعت', 'انا', 'بايع', 'باعت', 'انا', 'بايع', 'وايه', 'يعني', 'تودعني', 'وتهجرني', 'وتنساني', 'وفاكره', 'البعد', 'ضيعني', 'وسهرني', 'وبكاني', 'وايه', 'يعني', 'تودعني', 'وتهجرني', 'وتنساني', 'وفاكره', 'البعد', 'ضيعني', 'وسهرني', 'وبكاني', 'وايه', 'يعني', 'تودعني', 'وتهجرني', 'وتنساني', 'وفاكره', 'البعد', 'ضيعني', 'وسهرني', 'وبكاني', 'وايه', 'يعني', 'تودعني', 'وتهجرني', 'وتنساني', 'وفاكره', 'البعد', 'ضيعني', 'وسهرني', 'وبكاني', 'وايه', 'يعني', 'تودعني', 'وتهجرني', 'وتنساني', 'وفاكره', 'البعد', 'ضيعني', 'وسهرني', 'وبكاني']",Goodbyes,"**Goodbyes / Heartbreak / Moving on**

The lyrics express the pain of a separation, betrayal (""تخون قلبي"", ""تبيع حبي"") and the singer's attempt to move on (""هوصي القلب ينساها"", ""وهدور العيون علي فرحه وامل"", ""باعت انا بايع""). The repetition of ""وايه يعني"" (So what?) indicates a forced attempt to minimize the hurt and convince himself that he can live without her."
حبينا,"['حبينا', 'حبينا', 'حبينا', 'حبينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'وقعنا', 'حبينا', 'بوي', 'وقعنا', 'حدش', 'سمي', 'حدش', 'سمي', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'ودايبين', 'دوب', 'والغالب', 'مغلوب', 'حبينا', 'ودايبين', 'دوب', 'والغالب', 'مغلوب', 'فين', 'نهرب', 'المكتوب', 'فين', 'نهرب', 'المكتوب', 'وعد', 'ومكتوب', 'لينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'مساكين', 'والله', 'العشاق', 'الهوي', 'جانا', 'ومشتاق', 'مساكين', 'والله', 'العشاق', 'الهوي', 'جانا', 'ومشتاق', 'جانا', 'للطاق', 'جانا', 'للطاق', 'والنوم', 'خاصمك', 'عينينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'خدنا', 'بحر', 'الاحلام', 'والقلب', 'ماهوش', 'عوام', 'خدنا', 'بحر', 'الاحلام', 'والقلب', 'ماهوش', 'عوام', 'خلاص', 'عايزه', 'كلام', 'خلاص', 'عايزه', 'كلام', 'الشوق', 'صاحب', 'ليالينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'وقعنا', 'حبينا', 'بوي', 'وقعنا', 'حدش', 'سمي', 'حدش', 'سمي', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'وقعنا', 'حبينا', 'بوي', 'وقعنا', 'حدش', 'سمي', 'حدش', 'سمي', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بايدينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'حبينا', 'حبينا', 'بايدينا', 'حبينا', 'بوي', 'حبينا']",New in love,"**New in love:** The lyrics repeatedly mention ""حبّينا"" (we loved/we fell in love), expressing the feeling of falling in love, being consumed by it (""ودايبين دوب"" - melting away), and acknowledging its power and inevitability. It also touches upon the vulnerability and helplessness that can come with it (""مساكين والله العشاق"" - the lovers are poor things)."
